Attaching to nd029-c2-apache-spark-and-spark-streaming-starter_spark_1
[36mspark_1           |[0m [38;5;6m [38;5;5m02:30:52.65 [0m
[36mspark_1           |[0m [38;5;6m [38;5;5m02:30:52.66 [0m[1mWelcome to the Bitnami spark container[0m
[36mspark_1           |[0m [38;5;6m [38;5;5m02:30:52.66 [0mSubscribe to project updates by watching [1mhttps://github.com/bitnami/bitnami-docker-spark[0m
[36mspark_1           |[0m [38;5;6m [38;5;5m02:30:52.66 [0mSubmit issues and feature requests at [1mhttps://github.com/bitnami/bitnami-docker-spark/issues[0m
[36mspark_1           |[0m [38;5;6m [38;5;5m02:30:52.66 [0m
[36mspark_1           |[0m [38;5;6m [38;5;5m02:30:52.66 [0m[38;5;2mINFO [0m ==> ** Starting Spark setup **
[36mspark_1           |[0m realpath: /bitnami/spark/conf: No such file or directory
[36mspark_1           |[0m [38;5;6m [38;5;5m02:30:52.69 [0m[38;5;2mINFO [0m ==> Generating Spark configuration file...
[36mspark_1           |[0m [38;5;6m [38;5;5m02:30:52.69 [0m[38;5;2mINFO [0m ==> ** Spark setup finished! **
[36mspark_1           |[0m 
[36mspark_1           |[0m [38;5;6m [38;5;5m02:30:52.70 [0m[38;5;2mINFO [0m ==> ** Starting Spark in master mode **
[36mspark_1           |[0m starting org.apache.spark.deploy.master.Master, logging to /opt/bitnami/spark/logs/spark--org.apache.spark.deploy.master.Master-1-c8055d4b539e.out
[36mspark_1           |[0m Spark Command: /opt/bitnami/java/bin/java -cp /opt/bitnami/spark/conf/:/opt/bitnami/spark/jars/* -Xmx1g org.apache.spark.deploy.master.Master --host c8055d4b539e --port 7077 --webui-port 8080
[36mspark_1           |[0m ========================================
[36mspark_1           |[0m Using Spark's default log4j profile: org/apache/spark/log4j-defaults.properties
[36mspark_1           |[0m 22/07/30 02:30:53 INFO Master: Started daemon with process name: 40@c8055d4b539e
[36mspark_1           |[0m 22/07/30 02:30:53 INFO SignalUtils: Registering signal handler for TERM
[36mspark_1           |[0m 22/07/30 02:30:53 INFO SignalUtils: Registering signal handler for HUP
[36mspark_1           |[0m 22/07/30 02:30:53 INFO SignalUtils: Registering signal handler for INT
[36mspark_1           |[0m 22/07/30 02:30:54 WARN NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
[36mspark_1           |[0m 22/07/30 02:30:54 INFO SecurityManager: Changing view acls to: spark
[36mspark_1           |[0m 22/07/30 02:30:54 INFO SecurityManager: Changing modify acls to: spark
[36mspark_1           |[0m 22/07/30 02:30:54 INFO SecurityManager: Changing view acls groups to: 
[36mspark_1           |[0m 22/07/30 02:30:54 INFO SecurityManager: Changing modify acls groups to: 
[36mspark_1           |[0m 22/07/30 02:30:54 INFO SecurityManager: SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(spark); groups with view permissions: Set(); users  with modify permissions: Set(spark); groups with modify permissions: Set()
[36mspark_1           |[0m 22/07/30 02:30:54 INFO Utils: Successfully started service 'sparkMaster' on port 7077.
[36mspark_1           |[0m 22/07/30 02:30:54 INFO Master: Starting Spark master at spark://c8055d4b539e:7077
[36mspark_1           |[0m 22/07/30 02:30:54 INFO Master: Running Spark version 3.2.1
[36mspark_1           |[0m 22/07/30 02:30:55 INFO Utils: Successfully started service 'MasterUI' on port 8080.
[36mspark_1           |[0m 22/07/30 02:30:55 INFO MasterWebUI: Bound MasterWebUI to 0.0.0.0, and started at http://c8055d4b539e:8080
[36mspark_1           |[0m 22/07/30 02:30:55 INFO Master: I have been elected leader! New state: ALIVE
[36mspark_1           |[0m 22/07/30 02:30:56 INFO Master: Registering worker 172.20.0.4:34579 with 1 cores, 1024.0 MiB RAM
